City,Population,City_Encoded,Cluster
Ambattur,466205,2,2
Avadi,345996,4,2
Tiruvottiyur,249446,88,0
Pallavaram,215417,55,0
Tambaram,174787,78,0
Alandur,164430,1,0
Alamathi,7424,0,3
Anakaputhur,48050,3,3
Ayappakkam,29511,5,3
Ayyappanthangal,23808,6,3
Chinnasekkadu,12396,7,3
Chitlapakkam,37906,8,3
CowlBazaar,2784,9,3
Edayanchavadi,12119,10,3
Gerugambakkam,11551,11,3
Injambakkam,21158,13,3
Irandankattalai,3073,14,3
Jalladiampet,19100,15,3
Kadhirvedu,7580,16,3
Kannapalayam,4704,17,3
Karambakkam,21376,18,3
Karapakkam,8958,19,3
Kattivakkam,36617,20,3
Kattupakkam,23910,21,3
Koilambakkam,27374,22,3
Kolapakkam,7970,23,3
Kottivakkam,20217,24,3
Kovur,10961,25,3
Kundrathur,42126,26,3
Madambakkam,11673,27,3
Madambakkam,31681,27,3
Madippakkam,35752,29,3
Maduravoyal,86195,30,3
Manali,35248,31,3
Manapakkam,13344,32,3
Mangadu,38188,33,3
Maraimalainagar,81872,34,3
Mathur,27674,35,3
Medavakkam,29710,36,3
Meenambakkam,4286,37,3
Moovarasampettai,9672,38,3
Mowlivakkam,9294,39,3
Mugalivakkam,25117,40,3
Nadukuthagai,9251,41,3
Nallur,19595,42,3
Nandambakkam,11239,43,3
Guduvancheri,44098,12,3
Nanmangalam,18567,44,3
Naravarikuppam,20946,45,3
Nazarathpettai,8660,46,3
Nedungundram,14390,47,3
Neelankarai,28458,48,1
Nemilicheri,5743,49,1
Nerkundram,59790,50,1
Nolambur,21973,51,1
Oggiyamduraipakkam,76600,52,1
Padianallur,23819,53,1
Palavakkam,26766,54,1
Pallavaram,0,55,1
Pallikaranai,43493,56,1
Pammal,75870,57,1
Paraniputhur,15225,58,1
Peerkankaranai,25871,59,1
Periyapanaicheri,2379,60,1
Perungalathur,37342,61,1
Perungudi,43111,62,1
Polichalur,21906,63,1
Poonamallee,57224,64,1
Porur,46690,65,1
Puthagaram,10263,66,1
Puzhal,31665,67,1
Puzhithivakkam,53322,68,1
Ramapuram,52295,69,1
Sembakkam,45356,70,1
Senneerkuppam,16237,71,1
Sholinganallur,26644,72,1
Sikkarayapuram,10187,73,1
Singaperumalkoil,13566,74,1
Sirukalathur,6117,75,1
Soorapattu,10444,76,1
St.ThomasMountandPallavaram,43795,77,1
Thandalam,5176,79,1
Tharapakkam,2232,80,1
Theerthagiriyampattu,5412,81,1
Thirumazhisai,19733,82,1
Thiruneermalai,30702,83,1
Thirunindravur,37095,84,1
Thiruvancheri,3379,85,1
Tirusulam,14086,86,1
Tiruverkadu,62824,87,1
Urapakkam,29122,89,1
Valasaravakkam,47378,90,1
Vanagaram,19208,91,1
Vandalur,16852,92,1
Varadarajapuram,3383,93,1
Vengavasal,13671,94,1
Madavaram,119105,28,0
